word,is_clueable,zipf,pos,flags,theme_tags,banned,in_must_keep,sources
ABOS,True,,,,,False,,PLAY|WL
ABOUGHT,True,,,,,False,,PLAY|WL
ABOULIA,True,,,,,False,,PLAY|WL
ABOULIAS,True,,,,,False,,PLAY|WL
ABOULIC,True,,,,,False,,PLAY|WL
ABOUND,True,3.27,verb,atomic=True,,False,,BAS|PLAY|WL
ABOUNDED,True,,,,,False,,PLAY|WL
ABOUNDING,True,,,,,False,,PLAY|WL
ABOUNDS,True,2.7,verb,atomic=True,,False,,BAS|PLAY|WL
ABOUT,True,6.4,adj,atomic=True,,False,,BAS|PLAY|WL
ABOVE,True,5.2,noun,atomic=True,,False,,BAS|PLAY|WL
ABOVES,True,,,,,False,,PLAY|WL
ABRACHIA,True,,,,,False,,PLAY|WL
ABRACHIAS,True,,,,,False,,PLAY|WL
ABRADABLE,True,,,,,False,,PLAY|WL
ABRADANT,True,,,,,False,,PLAY|WL
ABRADANTS,True,,,,,False,,PLAY|WL
ABRADE,True,,,,,False,,PLAY|WL
ABRADED,True,,,,,False,,PLAY|WL
ABRADER,True,,,,,False,,PLAY|WL
ABRADERS,True,,,,,False,,PLAY|WL
ABRADES,True,,,,,False,,PLAY|WL
ABRADING,True,,,,,False,,PLAY|WL
ABRASION,True,2.91,noun,atomic=False,,False,,BAS|PLAY|WL
ABRASIONS,True,2.6,noun,atomic=False,,False,,BAS|PLAY|WL
ABRASIVE,True,3.22,noun,atomic=False,,False,,BAS|PLAY|WL
ABRASIVES,True,,,,,False,,PLAY|WL
ABREACT,True,,,,,False,,PLAY|WL
ABREACTED,True,,,,,False,,PLAY|WL
ABREACTS,True,,,,,False,,PLAY|WL
ABREAST,True,2.95,adj,atomic=True,,False,,BAS|PLAY|WL
ABRI,True,,,,,False,,PLAY|WL
ABRIDGE,True,,,,,False,,PLAY|WL
ABRIDGED,True,3.01,verb,atomic=True,,False,,BAS|PLAY|WL
ABRIDGER,True,,,,,False,,PLAY|WL
ABRIDGERS,True,,,,,False,,PLAY|WL
ABRIDGES,True,,,,,False,,PLAY|WL
ABRIDGING,True,,,,,False,,PLAY|WL
ABRIS,True,,,,,False,,PLAY|WL
ABROACH,True,,,,,False,,PLAY|WL
ABROAD,True,4.39,adj,atomic=True,,False,,BAS|PLAY|WL
ABROGATE,True,,,,,False,,PLAY|WL
ABROGATED,True,,,,,False,,PLAY|WL
ABROGATES,True,,,,,False,,PLAY|WL
ABROSIA,True,,,,,False,,PLAY|WL
ABROSIAS,True,,,,,False,,PLAY|WL
ABRUPT,True,3.38,adj,atomic=True,,False,,BAS|PLAY|WL
ABRUPTER,True,,,,,False,,PLAY|WL
ABRUPTEST,True,,,,,False,,PLAY|WL
ABRUPTION,True,,,,,False,,PLAY|WL
ABRUPTLY,True,3.56,adv,atomic=False,,False,,BAS|PLAY|WL
ABS,True,3.86,noun,atomic=True,,False,,BAS|PLAY|WL
ABSCESS,True,2.81,noun,atomic=False,,False,,BAS|PLAY|WL
ABSCESSED,True,,,,,False,,PLAY|WL
ABSCESSES,True,,,,,False,,PLAY|WL
ABSCISE,True,,,,,False,,PLAY|WL
ABSCISED,True,,,,,False,,PLAY|WL
ABSCISES,True,,,,,False,,PLAY|WL
ABSCISIN,True,,,,,False,,PLAY|WL
ABSCISING,True,,,,,False,,PLAY|WL
ABSCISINS,True,,,,,False,,PLAY|WL
ABSCISSA,True,,,,,False,,PLAY|WL
ABSCISSAE,True,,,,,False,,PLAY|WL
ABSCISSAS,True,,,,,False,,PLAY|WL
ABSCOND,True,,,,,False,,PLAY|WL
ABSCONDED,True,,,,,False,,PLAY|WL
ABSCONDER,True,,,,,False,,PLAY|WL
ABSCONDS,True,,,,,False,,PLAY|WL
ABSEIL,True,,,,,False,,PLAY|WL
ABSEILED,True,,,,,False,,PLAY|WL
ABSEILING,True,,,,,False,,PLAY|WL
ABSEILS,True,,,,,False,,PLAY|WL
ABSENCE,True,4.34,noun,atomic=False,,False,,BAS|PLAY|WL
ABSENCES,True,3.01,noun,atomic=False,,False,,BAS|PLAY|WL
ABSENT,True,3.98,verb,atomic=False,,False,,BAS|PLAY|WL
ABSENTED,True,,,,,False,,PLAY|WL
ABSENTEE,True,3.17,noun,atomic=False,,False,,BAS|PLAY|WL
ABSENTEES,True,,,,,False,,PLAY|WL
ABSENTER,True,,,,,False,,PLAY|WL
ABSENTERS,True,,,,,False,,PLAY|WL
ABSENTING,True,,,,,False,,PLAY|WL
ABSENTLY,True,,,,,False,,PLAY|WL
ABSENTS,True,,,,,False,,PLAY|WL
ABSINTH,True,,,,,False,,PLAY|WL
ABSINTHE,True,2.69,noun,atomic=False,,False,,BAS|PLAY|WL
ABSINTHES,True,,,,,False,,PLAY|WL
ABSINTHS,True,,,,,False,,PLAY|WL
ABSOLUTE,True,4.54,noun,atomic=False,,False,,BAS|PLAY|WL
ABSOLUTER,True,,,,,False,,PLAY|WL
ABSOLUTES,True,,,,,False,,PLAY|WL
ABSOLVE,True,2.83,verb,atomic=False,,False,,BAS|PLAY|WL
ABSOLVED,True,2.69,verb,atomic=False,,False,,BAS|PLAY|WL
ABSOLVER,True,,,,,False,,PLAY|WL
ABSOLVERS,True,,,,,False,,PLAY|WL
ABSOLVES,True,,,,,False,,PLAY|WL
ABSOLVING,True,,,,,False,,PLAY|WL
ABSONANT,True,,,,,False,,PLAY|WL
ABSORB,True,3.81,verb,atomic=False,,False,,BAS|PLAY|WL
ABSORBANT,True,,,,,False,,PLAY|WL
ABSORBED,True,3.92,verb,atomic=False,,False,,BAS|PLAY|WL
ABSORBENT,True,2.81,noun,atomic=False,,False,,BAS|PLAY|WL
ABSORBER,True,2.71,noun,atomic=False,,False,,BAS|PLAY|WL
ABSORBERS,True,2.65,noun,atomic=False,,False,,BAS|PLAY|WL
ABSORBING,True,3.5,verb,atomic=False,,False,,BAS|PLAY|WL
ABSORBS,True,3.18,verb,atomic=False,,False,,BAS|PLAY|WL
ABSTAIN,True,3.07,verb,atomic=False,,False,,BAS|PLAY|WL
ABSTAINED,True,2.78,verb,atomic=False,,False,,BAS|PLAY|WL
ABSTAINER,True,,,,,False,,PLAY|WL
ABSTAINS,True,,,,,False,,PLAY|WL
ABSTERGE,True,,,,,False,,PLAY|WL
ABSTERGED,True,,,,,False,,PLAY|WL
ABSTERGES,True,,,,,False,,PLAY|WL
ABSTINENT,True,,,,,False,,PLAY|WL
