word,pos,zipf,flags,theme_tags
admission,noun,4.15,atomic=False,
admit,verb,4.58,atomic=False,
admits,verb,3.94,atomic=False,
admitted,verb,4.49,atomic=False,
admitting,verb,3.8,atomic=False,
ado,noun,3.2,atomic=True,
adobe,noun,3.53,atomic=True,
adonis,noun,2.9,atomic=False,
adopt,verb,4.19,atomic=True,
adopted,verb,4.51,atomic=False,
adopters,noun,2.85,atomic=True,
adopting,verb,3.78,atomic=False,
adoption,noun,4.17,atomic=False,
adoptions,noun,2.82,atomic=False,
adoptive,adj,3.22,atomic=False,
adopts,verb,3.26,atomic=True,
adorable,adj,4.06,atomic=True,
adoration,noun,3.11,atomic=False,
adore,verb,3.7,atomic=True,
adored,verb,3.32,atomic=True,
adores,verb,2.92,atomic=True,
adoring,verb,2.82,atomic=False,
adorn,verb,3.01,atomic=True,
adorned,verb,3.37,atomic=True,
adrenal,noun,2.99,atomic=True,
adrift,adj,3.06,atomic=True,
ads,noun,4.32,atomic=True,
adulation,noun,2.6,atomic=False,
adult,noun,4.8,atomic=True,
adultery,noun,3.41,atomic=False,
adulthood,noun,3.6,atomic=False,
adults,noun,4.59,atomic=True,
advance,noun,4.65,atomic=False,
advanced,verb,4.71,atomic=False,
advances,noun,4.08,atomic=False,
advancing,verb,3.86,atomic=False,
advantage,noun,4.78,atomic=False,
advent,noun,3.67,atomic=False,
adventure,noun,4.46,atomic=False,
adverbs,noun,2.6,atomic=False,
adversary,noun,3.29,atomic=False,
adverse,adj,3.89,atomic=False,
adversely,adv,3.27,atomic=False,
adversity,noun,3.38,atomic=False,
advert,noun,3.46,atomic=False,
advertise,verb,3.66,atomic=False,
adverts,noun,3.26,atomic=False,
advice,noun,4.88,atomic=False,
advices,noun,2.76,atomic=False,
advisable,adj,3.26,atomic=False,
advise,verb,4.09,atomic=False,
advised,verb,4.18,atomic=False,
adviser,noun,3.94,atomic=False,
advisers,noun,3.6,atomic=False,
advises,verb,3.43,atomic=False,
advising,verb,3.57,atomic=False,
advisor,noun,4.01,atomic=False,
advisors,noun,3.63,atomic=False,
advisory,noun,4.18,atomic=False,
advocacy,noun,3.9,atomic=False,
advocate,noun,4.21,atomic=False,
advocated,verb,3.6,atomic=False,
advocates,noun,3.95,atomic=False,
aegis,noun,3.06,atomic=True,
aeon,noun,2.64,atomic=True,
aerial,noun,3.91,atomic=False,
aerials,noun,2.63,atomic=False,
